package,Methods,Instances,stable,grounded,nospec,vararg,Fail
ACME,152,2276,2207,2007,1,2,0
ADCME,493,1096,423,292,4,70,0
ARCHModels,239,1323,1017,858,2,2,0
AWS,44,61,38,19,0,0,0
AWSCore,43,52,32,12,0,1,0
AbstractAlgebra,1405,6858,6201,5791,14,14,0
AbstractFFTs,39,62,61,52,0,3,0
AbstractGPs,120,532,468,466,2,6,0
AbstractPlotting,541,3013,1914,1245,11,108,0
AbstractTensors,27,41,25,23,0,1,0
AbstractTrees,109,801,573,416,0,6,0
AcceleratedArrays,19,30,29,29,0,0,0
AccurateArithmetic,83,229,224,213,3,19,0
Adapt,28,152,67,26,1,3,0
AdvancedMH,191,638,374,260,17,20,0
Agents,282,1498,1145,899,1,65,0
AlgebraOfGraphics,54,207,99,69,0,9,0
AlgebraicMultigrid,48,165,93,81,0,2,0
AlphaVantage,69,79,13,11,0,0,0
Alpine,241,453,321,135,0,0,0
AmplNLWriter,466,9343,8158,6269,11,9,0
Animations,52,140,94,65,1,4,0
ApplicationBuilder,3,4,3,0,0,0,0
ApproxBayes,44,61,43,39,0,1,0
ArbNumerics,44,47,38,38,2,0,0
ArchGDAL,913,1863,1245,1024,4,176,0
ArgCheck,27,94,72,48,2,4,0
ArrayInterface,691,4035,3637,3506,54,54,0
Arrow,417,9265,5212,4590,3,4,0
ArviZ,323,1288,848,422,4,147,0
AsmMacro,10,13,11,10,1,0,0
AstroLib,127,167,166,164,0,1,0
AtariAlgos,30,72,23,19,1,9,0
Atom,335,658,531,386,16,7,0
Augmentor,97,1313,1296,1294,0,20,0
AutoGrad,398,12427,4494,891,9,28,2
AutoHashEquals,0,0,0,0,0,0,0
AutoPreallocation,21,89,56,53,1,5,0
Automa,108,222,193,165,2,4,0
Avalon,73,155,62,46,2,1,0
AxisArrays,186,3532,2538,2362,9,46,0
AxisKeys,192,2978,2220,2077,1,44,0
BAT,765,5066,4546,3845,4,20,0
BSON,94,638,439,391,0,3,0
BandedMatrices,282,2803,2595,2474,1,9,0
BayesNets,679,1873,1203,794,22,53,0
BayesianNonparametrics,30,41,30,22,0,0,0
BayesianOptimization,152,621,409,377,0,4,0
BenchmarkTools,179,828,499,351,2,22,0
BifurcationKit,59,124,97,81,0,1,0
BilevelJuMP,1541,22281,18460,12140,10,60,1
BilevelOptimization,5,5,4,1,0,0,0
BinDeps,7,7,6,2,2,0,0
BinaryBuilder,134,271,225,106,6,3,0
BioAlignments,75,135,133,89,5,2,0
Blink,16,18,15,8,4,1,0
BlockArrays,179,2348,1792,1673,5,36,0
BlockBandedMatrices,123,960,868,857,0,0,0
Boltzmann,43,119,87,63,5,0,0
BoltzmannMachines,351,1186,917,704,0,6,2
BrainFlow,46,53,52,49,1,0,0
Bridge,355,744,543,496,3,4,0
Bukdu,197,771,655,330,1,19,0
BusinessDays,124,285,278,258,0,0,0
CBinding,6633,50618,42696,41328,11,15,0
CMBLensing,333,1213,1084,950,38,27,0
COBRA,4,4,2,2,0,0,0
COSMO,1938,22323,19141,14859,10,82,2
CSTParser,320,385,356,331,8,0,0
CSV,177,2436,1754,856,4,1,0
CSVFiles,38,74,63,61,4,4,0
CUDAdrv,14,14,13,8,2,0,0
CUDAnative,27,29,24,13,2,1,0
Caesar,1398,3607,2766,1829,20,32,0
Cairo,152,202,196,187,0,0,0
Calculus,74,262,183,118,5,1,0
CanonicalTraits,36,78,63,31,9,0,0
CartesianGeneticProgramming,35,39,34,29,0,0,0
Cascadia,62,107,100,61,0,0,0
Cassette,367,103808,88766,81022,16,132,14
CatViews,17,34,31,22,5,10,0
CausalInference,60,118,94,52,1,7,0
Cbc,1246,14738,12395,9258,10,24,2
Chain,12,32,16,11,1,0,0
ChainRulesCore,120,315,280,235,7,13,0
ChaosTools,82,427,339,225,1,0,0
ChemometricsTools,30,50,38,32,0,2,0
Chess,231,233,232,224,0,0,0
Clang,146,357,284,240,1,0,0
ClearStacktrace,10,22,18,12,0,0,0
Cliffords,22,45,27,25,0,0,0
ClimateMARGO,33,34,26,24,0,0,0
Clp,1243,14266,11992,8967,10,24,2
ClustForOpt,134,295,234,161,32,30,0
ClusterManagers,10,15,13,6,0,1,0
Clustering,35,213,208,180,0,0,0
CmdStan,3,3,0,0,0,0,0
CodeTracking,27,29,21,14,0,3,0
CodecZlib,24,56,55,47,0,0,0
ColorBrewer,1,1,0,0,0,0,0
ColorSchemes,12,67,28,27,0,0,0
ColorTypes,302,10979,10783,10273,3,4,0
Colors,339,21876,21613,20835,5,4,0
Combinatorics,67,93,89,81,0,1,0
